CALLSIGN,TIME,LATITUDE,LONGITUDE,ALTITUDE,SPEED,TRACK,VERTICAL_RATE
KLM29L, 1496327920742, 55.102627, -1.948076, 26100, 395.4, 320.0, -1344
EZY905M, 1496327917852, 54.431064, -2.785201, 36975, 455.9, 338.1, -3328
STK26GL, 1496327927879, 54.992159, -5.014426, 15000, 309.9, 22.2, -64
EZY209, 1496327926051, 53.677139, -2.161011, 34025, 440.2, 336.3, -64
KLM29L, 1496327923520, 55.107655, -1.956232, 26000, 395.4, 320.0, -1344
EZY905M, 1496327927863, 54.449685, -2.798767, 36425, 456.4, 335.1, -3904
STK26GL, 1496327934597, 54.999069, -5.009523, 15000, 309.9, 22.2, -64
EZY209, 1496327934597, 53.690643, -2.170663, 34025, 440.5, 337.2, -64
KLM29L, 1496327934597, 55.122437, -1.97867, 26000, 393.2, 320.0, 0
EZY905M, 1496327933690, 54.455383, -2.803452, 36075, 456.4, 335.1, -3904
STK3832, 1496327934581, 54.235592, -5.89675, 17000, 316.2, 25.7, 0
STK26GL, 1496327938788, 55.003967, -5.00605, 15000, 309.9, 22.2, -64
EZY209, 1496327938788, 53.696191, -2.174566, 34000, 440.5, 337.2, -64
KLM29L, 1496327938788, 55.126788, -1.984863, 26000, 393.2, 320.0, 64
EZY905M, 1496327938773, 54.465866, -2.8125, 35800, 458.4, 332.9, -3712
STK3832, 1496327933913, 54.235592, -5.89675, 17000, 316.2, 25.7, 0
STK26GL, 1496327947395, 55.018042, -4.995949, 15000, 309.0, 22.2, 64
EZY209, 1496327945223, 53.710922, -2.184867, 34000, 441.6, 337.5, -64
KLM29L, 1496327946723, 55.141891, -2.007348, 26000, 395.4, 320.0, 64
EZY905M, 1496327946660, 54.486328, -2.830837, 35300, 460.3, 332.4, -2688
STK26GL, 1496327948352, 55.022461, -4.992801, 16000, 309.0, 22.2, 64
EZY209, 1496327948352, 53.726166, -2.195461, 34000, 440.7, 337.5, 0
KLM29L, 1496327948352, 55.147568, -2.015507, 26000, 395.4, 320.0, 64
EZY905M, 1496327948336, 54.491908, -2.835804, 35200, 460.3, 332.4, -2688
STK3832, 1496327948336, 54.260404, -5.876312, 17000, 317.6, 25.8, 0
STK26GL, 1496327961772, 55.03418, -4.984481, 15000, 308.1, 22.3, -64
EZY209, 1496327961772, 53.741364, -2.206133, 34000, 441.6, 337.5, -64
KLM29L, 1496327961772, 55.160305, -2.034219, 26000, 398.2, 320.0, 0
EZY905M, 1496327961038, 54.508804, -2.850952, 34725, 460.3, 332.4, -2624
STK3832, 1496327953163, 54.260404, -5.876312, 17000, 316.7, 25.8, 0
EZY905M, 1496327964149, 54.523773, -2.864281, 34325, 460.3, 332.4, -2624
STK26GL, 1496327970940, 55.047363, -4.975029, 15000, 309.0, 22.2, -64
EZY209, 1496327970940, 53.758198, -2.218027, 34000, 441.1, 337.3, 0
EZY905M, 1496327970909, 54.53064, -2.87034, 34125, 463.3, 332.8, -3712
STK26GL, 1496327968196, 55.047363, -4.975029, 15000, 309.0, 22.2, -64
EZY905M, 1496327972196, 54.531464, -2.871067, 33975, 464.7, 332.7, -3648
STK26GL, 1496327982727, 55.065292, -4.962241, 15000, 309.0, 22.2, 64
EZY209, 1496327980743, 53.783844, -2.23611, 34000, 441.5, 337.2, 64
KLM29L, 1496327980727, 55.190643, -2.078032, 25900, 397.5, 316.4, -960
EZY905M, 1496327977758, 54.55103, -2.888322, 33325, 466.5, 332.8, -3648
STK26GL, 1496327989788, 55.073868, -4.956126, 15000, 309.9, 22.2, 64
EZY209, 1496327987475, 53.789388, -2.24008, 34000, 441.5, 337.2, 64
KLM29L, 1496327987475, 55.195313, -2.08716, 25850, 395.1, 311.9, -1152
EZY905M, 1496327987460, 54.560486, -2.896675, 32975, 467.8, 332.8, -3712
STK26GL, 1496327994815, 55.079956, -4.951338, 15000, 312.2, 26.6, -64
EZY209, 1496327992206, 53.799042, -2.24694, 34000, 441.5, 337.2, 0
KLM29L, 1496327992190, 55.199782, -2.094227, 25750, 395.1, 311.9, -1152
EZY905M, 1496327994768, 54.575226, -2.909681, 32675, 467.8, 332.8, -3712
STK3832, 1496327994768, 54.314451, -5.83091, 17000, 313.2, 30.1, 0
STK26GL, 1496327998848, 55.082657, -4.948775, 15000, 312.9, 28.9, -128
EZY209, 1496327996348, 53.808149, -2.253409, 34000, 441.5, 337.2, 64
KLM29L, 1496327999441, 55.212112, -2.120442, 25625, 394.1, 311.1, -1088
EZY905M, 1496327994160, 54.575226, -2.909681, 32350, 468.7, 332.8, -3712
STK3832, 1496327999441, 54.319711, -5.825584, 17000, 313.5, 30.9, 64
STK26GL, 1496328014831, 55.100718, -4.924039, 15000, 312.4, 41.5, 128
EZY209, 1496328014831, 53.841843, -2.277309, 34025, 441.5, 337.2, 0
EZY905M, 1496328014800, 54.616653, -2.946436, 31375, 469.2, 332.7, -3776
STK3832, 1496328014800, 54.337727, -5.80719, 17000, 313.5, 30.9, 0
STK26GL, 1496328019649, 55.110913, -4.908059, 15000, 313.0, 41.9, -384
KLM29L, 1496328016274, 55.231201, -2.158733, 25250, 392.8, 310.9, -1088
EZY905M, 1496328019649, 54.631439, -2.959684, 30900, 469.6, 332.6, -3776
STK3832, 1496328019649, 54.3517, -5.792945, 17000, 316.6, 30.8, 0
STK26GL, 1496328021743, 55.115204, -4.901356, 14950, 315.2, 41.8, -512
EZY905M, 1496328020368, 54.634311, -2.96223, 30750, 469.6, 332.6, -3776
STK3832, 1496328021727, 54.354253, -5.790378, 17000, 316.6, 30.8, 0
STK26GL, 1496328031159, 55.119003, -4.895459, 14925, 315.9, 41.7, -576
KLM29L, 1496328031159, 55.247589, -2.19258, 25150, 391.5, 310.6, -1088
EZY905M, 1496328031143, 54.644302, -2.971156, 30450, 470.1, 332.5, -3776
STK3832, 1496328031143, 54.357925, -5.786564, 17000, 316.6, 30.8, 0
STK26GL, 1496328035040, 55.127518, -4.882211, 14850, 318.0, 41.8, -576
KLM29L, 1496328035024, 55.256249, -2.209167, 25025, 390.7, 310.7, -1088
EZY905M, 1496328032149, 54.653641, -2.979557, 30050, 471.4, 332.5, -3776
STK3832, 1496328034836, 54.366714, -5.777597, 17000, 316.6, 30.8, -64
STK26GL, 1496328039221, 55.128603, -4.88051, 14825, 318.7, 41.7, -576
EZY209, 1496328039221, 53.885286, -2.308098, 34025, 441.1, 337.3, 0
KLM29L, 1496328037768, 55.256249, -2.209167, 25000, 390.7, 310.7, -1088
EZY905M, 1496328036299, 54.653641, -2.979557, 30000, 471.4, 332.5, -3712
